,Issues,Project,TOT,ValidCommitSet,ValidCommitSet and not PR,alsoFixesPhrase,mergeCommitUsed,moreThanOneParent,multipleIssueFixes,stats Skipped reason,unavailable
0,1245,CodenameOne,23,19,19,43,1202,32,43,43,43
1,1124,ExoPlayer,530,474,474,565,558,566,508,566,566
2,136,FirebaseUI-Android,8,0,0,13,123,13,4,13,13
3,132,HikariCP,58,46,46,63,69,59,56,63,63
4,73,Hystrix,5,2,2,7,66,7,2,7,7
5,60,MPAndroidChart,27,18,18,32,28,28,26,32,32
6,166,MozStumbler,17,1,1,20,146,18,4,20,20
7,683,OpenRefine,89,54,54,161,522,159,99,161,161
8,101,Orienteer,58,51,51,61,40,60,54,61,61
9,259,RxJava,18,1,1,20,239,20,2,20,20
10,225,Time4J,175,155,155,202,23,202,182,202,202
11,138,TwelveMonkeys,69,51,51,76,62,76,58,76,76
12,254,armeria,150,1,1,183,71,183,4,183,183
13,304,async-http-client,253,211,211,268,36,268,230,268,268
14,128,azure-iot-sdk-java,30,26,26,43,85,42,33,43,43
15,305,azure-tools-for-java,16,3,3,18,287,18,4,18,18
16,1992,bazel,649,422,422,1111,881,1111,816,1111,1111
17,143,bookkeeper,76,0,0,115,28,115,1,115,115
18,75,buck,18,16,16,25,50,25,25,25,25
19,1273,caja,2,1,1,4,1269,4,4,4,4
20,930,ceylon-ide-eclipse,199,181,181,556,374,556,547,556,556
21,2083,android,106,66,66,139,1943,140,93,140,140
22,162,aws-sdk-android,14,4,4,15,147,15,4,15,15
23,516,jetty.project,319,155,155,343,173,343,189,343,343
24,290,vorto,96,19,19,152,138,151,32,152,152
25,131,ice,14,10,10,33,98,33,23,33,33
26,163,reddeer,29,23,23,40,123,40,38,40,40
27,3158,che,124,10,10,188,2970,188,51,188,188
28,442,checkstyle,373,339,339,410,32,410,381,410,410
29,147,closure-compiler,66,58,58,72,75,72,64,72,72
30,166,cyclops,60,38,38,79,87,73,50,79,79
31,1047,deeplearning4j,138,49,49,229,818,228,81,229,229
32,431,druid,70,5,5,85,346,85,8,85,85
33,208,eclipse.jdt.ls,39,26,26,69,139,69,60,69,69
34,4196,elasticsearch,2139,996,996,2440,1755,2439,1140,2441,2441
35,598,BroadleafCommerce,428,256,256,516,82,381,450,516,516
36,123,titan,68,60,60,79,44,79,74,79,79
37,1515,orientdb,695,626,626,769,746,767,715,769,769
38,133,antlr4,36,18,18,54,79,47,32,54,54
39,701,neo4j,45,24,24,114,587,107,76,114,114
40,188,junit5,132,86,86,167,21,166,147,167,167
41,234,MapDB,125,100,100,135,98,136,122,136,136
42,180,elk,117,94,94,149,31,149,118,149,149
43,377,exist,50,38,38,74,303,72,58,74,74
44,357,flutter-intellij,57,5,5,64,293,64,5,64,64
45,252,fresco,22,17,17,31,221,31,25,31,31
46,803,generator-jhipster,39,23,23,209,594,207,123,209,209
47,402,google-cloud-eclipse,38,17,17,58,344,58,32,58,58
48,245,graal,21,6,6,25,220,11,22,25,25
49,220,graphhopper,126,88,88,150,69,150,109,151,151
50,281,grpc-java,64,42,42,80,201,80,58,80,80
51,227,gson,1,1,1,1,226,1,1,1,1
52,349,guava,35,21,21,40,309,40,31,40,40
53,200,guice,1,1,1,1,199,1,1,1,1
